Tweet_id,score
1,0.141966
2,HttpError
3,0.24168505
4,0.075411394
5,HttpError
6,0.06526871
7,HttpError
8,0.07699326
9,HttpError
10,0.17149162
11,0.20562
12,0.12914959
13,HttpError
14,0.3747813
15,0.10870636
16,0.31737378
17,0.3744107
18,0.15739429
19,HttpError
20,HttpError
21,0.2244042
22,HttpError
23,HttpError
24,HttpError
25,HttpError
26,0.14401357
27,0.04712689
28,HttpError
29,HttpError
30,0.08633355
31,0.19289996
32,0.55986136
33,0.045199484
34,HttpError
35,0.08567274
36,0.18804054
37,HttpError
38,HttpError
39,0.0276764
40,HttpError
41,0.03898905
42,HttpError
43,HttpError
44,0.120111085
45,HttpError
46,0.27812302
47,HttpError
48,0.32156104
49,HttpError
50,HttpError
51,0.0670334
52,0.1496785
53,0.52412236
54,HttpError
55,0.19022556
56,0.13939446
57,HttpError
58,0.4623941
59,HttpError
60,0.4332707
61,0.22327486
62,0.07991093
63,HttpError
64,HttpError
65,HttpError
66,HttpError
67,0.08567274
68,HttpError
69,0.022129292
70,0.30837327
71,0.06504114
72,0.20147713
73,HttpError
74,HttpError
75,0.14954819
76,HttpError
77,HttpError
78,0.18309279
79,0.13983187
80,0.18062745
81,HttpError
82,0.06977789
83,0.064781725
84,HttpError
85,0.48638672
86,HttpError
87,0.09751973
88,0.02850192
89,0.1396312
90,0.39475328
91,HttpError
92,HttpError
93,0.08455297
94,0.044713818
95,0.5846169
96,HttpError
97,HttpError
98,0.16667487
99,HttpError
100,0.66553557
101,0.17632091
102,0.18868014
103,HttpError
104,HttpError
105,HttpError
106,HttpError
107,HttpError
108,HttpError
109,HttpError
110,HttpError
111,0.2215881
112,HttpError
113,0.26944506
114,HttpError
115,0.067557566
116,0.08567274
117,HttpError
118,HttpError
119,HttpError
120,0.30472484
121,HttpError
122,0.46040028
123,0.03898905
124,0.022053745
125,HttpError
126,HttpError
127,HttpError
128,0.054892264
129,HttpError
130,HttpError
131,HttpError
132,0.055118836
133,HttpError
134,HttpError
135,0.13932565
136,0.21090025
137,0.08567274
138,HttpError
139,0.088718496
140,HttpError
141,0.42478773
142,HttpError
143,0.53125775
144,HttpError
145,0.11996975
146,HttpError
147,0.069400325
148,HttpError
149,0.22558837
150,HttpError
151,0.09404389
152,0.31489706
153,0.08567274
154,HttpError
155,0.28361815
156,0.060882654
157,HttpError
158,HttpError
159,0.09008158
160,0.15543257
161,0.32188633
162,0.11997969
163,HttpError
164,HttpError
165,0.32172224
166,0.3220087
167,0.0605444
168,HttpError
169,HttpError
170,0.07016525
171,0.11697915
172,0.0908453
173,0.8378102
174,0.24308197
175,HttpError
176,0.12610137
177,0.014387751
178,0.092194155
179,0.036896557
180,0.46589994
181,HttpError
182,0.08567274
183,0.2636145
184,0.11281805
185,0.022737239
186,0.05971069
187,HttpError
188,HttpError
189,HttpError
190,HttpError
191,0.23577014
192,HttpError
193,0.26073518
194,HttpError
195,HttpError
196,HttpError
197,HttpError
198,0.185661
199,0.013903789
200,HttpError
201,0.20371424
202,0.8461803
203,HttpError
204,0.102185294
205,0.075210735
206,0.3758736
207,HttpError
208,HttpError
209,HttpError
210,0.56824
211,0.07202784
212,HttpError
213,HttpError
214,0.2126157
215,HttpError
216,HttpError
217,0.53088546
218,HttpError
219,HttpError
220,0.1886272
221,0.03017466
222,0.021569576
223,HttpError
224,HttpError
225,0.18336079
226,0.1015216
227,HttpError
228,0.51890403
229,HttpError
230,0.45115814
231,0.026103824
232,0.03717389
233,0.07696581
234,HttpError
235,0.37145776
236,0.18220362
237,0.28024527
238,HttpError
239,0.228488
240,0.05023277
241,0.119622685
242,0.5036338
243,HttpError
244,0.23722711
245,HttpError
246,0.14984518
247,0.09665813
248,HttpError
249,HttpError
250,0.37891832
251,0.4131409
252,0.05374307
253,0.09185018
254,0.31044236
255,HttpError
256,0.2812337
257,HttpError
258,0.8417515
259,0.22676918
260,HttpError
261,0.12403522
262,0.060478874
263,0.26725814
264,HttpError
265,HttpError
266,HttpError
267,0.11921639
268,HttpError
269,HttpError
270,0.1243252
